Event source,Event name,Resources
secretsmanager.amazonaws.com,GetResourcePolicy,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/chatbot-api/creds/de420a71-Q88P5v""}]"
secretsmanager.amazonaws.com,GetResourcePolicy,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/mongo/creds/de420a71-JcusOw""}]"
secretsmanager.amazonaws.com,GetResourcePolicy,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/schema-registry/creds/de420a71-lBa87J""}]"
secretsmanager.amazonaws.com,GetSecretValue,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/chatbot-api/creds/de420a71-Q88P5v""}]"
secretsmanager.amazonaws.com,GetSecretValue,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/schema-registry/creds/de420a71-lBa87J""}]"
secretsmanager.amazonaws.com,GetSecretValue,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/mongo/creds/de420a71-JcusOw""}]"
secretsmanager.amazonaws.com,PutSecretValue,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/chatbot-api/creds/de420a71-Q88P5v""}]"
secretsmanager.amazonaws.com,PutSecretValue,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/mongo/creds/de420a71-JcusOw""}]"
secretsmanager.amazonaws.com,PutSecretValue,"[{""resourceType"":""AWS::SecretsManager::Secret"",""resourceName"":""arn:aws:secretsmanager:us-east-1:<aws-account-number-here>:secret:confluent/vectorsearch/schema-registry/creds/de420a71-lBa87J""}]"
sts.amazonaws.com,GetCallerIdentity,[]
